# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
40568.7 38401.3 2168.35 9.49606 2168.33 -3.92365 -25.2543 -6376.42 -7.57481 313.957 6376.47 0.105658 0.00738873
27765.1 5408.16 22357.9 -30.5898 22357.8 -2.99016 -6.3942 -2421.63 -10.4228 3744.19 2421.66 1420.13 0.00523618
89749 16325.5 73424.5 -5.74537 73424.5 79.5557 0.551511 -4505.51 3.38756 2867.25 4505.51 0.105658 0.0142619
94490.4 86666.5 7824.86 39.1746 7824.72 -25.3385 -23.0553 -4737.15 24.0189 2509.06 4737.26 0.105658 0.0148449
14127.8 96.2149 14032.5 -0.0514931 14032.5 7.92785 5.05118 -1370.56 -1.44725 2617.44 1370.57 2429.24 0.00267096
26281.7 4408.99 21873.7 28.6033 21873.6 36.1429 5.84953 -93.8762 -3.64465 2867.95 94.1289 20635 0.00497217
47044.2 5241.69 41803.4 -13.7517 41803.4 34.4977 0.309045 -7010.98 -3.57928 2403.11 7010.99 0.105658 0.00840376
12600.2 10270.5 2330.68 11.7726 2330.65 0.890613 -8.59801 -530.936 3.0328 1325.36 531.014 1046.87 0.00236333
47134.3 13572.3 33562.9 21.2879 33562.9 -6.61733 1.13538 -6641.32 19.4307 2692.27 6641.35 0.105658 0.0084176
5574.78 516.595 5059.12 -16.6843 5059.1 2.93039 9.14866 -3350.75 -15.7517 2225.94 3350.8 0.105658 0.000913879
13648.2 917.711 12731.4 18.6479 12731.4 -9.69185 5.7152 -1082.2 14.3039 2372.27 1082.31 1643.41 0.00257482
53340.3 36158.5 17182.8 -14.4218 17182.8 -5.51226 -0.488554 -3545.25 17.1988 2141.95 3545.29 0.105658 0.00935161
53733.2 32893.6 20840.6 10.7289 20840.6 -8.43355 -10.1445 -3500.57 17.5687 3634.63 3500.63 96.7557 0.00940965
44163.5 4902.09 39262.3 -1.55499 39262.3 -46.0882 1.27205 -3554.52 -5.9743 3257.03 3554.53 0.105658 0.0079576
55597.7 38682.8 16915.8 4.45178 16915.8 22.3472 -0.481767 -2390.88 -8.4799 3748.63 2390.9 1384.25 0.00968306
10505.4 4510.43 5995.88 34.949 5995.77 9.81059 3.99034 -851.236 13.3925 2891.78 851.35 2982.5 0.00193534
27353.2 7729.43 19624.7 9.67239 19624.7 -8.63909 -8.5741 -2677.6 -11.6128 2290.56 2677.63 0.105658 0.00516321
