# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
40568.7 38401.3 2168.35 9.49606 2168.33 -3.92365 -25.2543 -6376.42 -7.57481 313.957 6376.47 0.105658 0.0533208
75730.1 40238.7 35492.3 19.2224 35492.3 -21.9525 -0.509942 -5124.03 -11.1191 4183.03 5124.04 0.105658 0.0899919
27765.1 5408.16 22357.9 -30.5898 22357.8 -2.99016 -6.3942 -2421.63 -10.4228 3194.1 2421.66 2122.45 0.037787
14081.6 10131.7 3950.94 2.12582 3950.92 11.7804 8.24391 -1937 -4.25454 1961.58 1937.02 13.0375 0.0192085
54285.6 15764.2 38522.3 -21.8519 38522.3 -22.311 -1.86361 -6648.21 4.63345 4305.38 6648.21 0.105658 0.0684914
14127.8 96.2149 14032.5 -0.0514931 14032.5 7.92785 5.05118 -1370.56 -1.44725 3043.27 1370.57 1560.86 0.019275
10737.4 2589.86 8148.45 -8.85513 8148.42 18.4975 -3.87291 -2985.64 -18.6864 1713.86 2985.7 0.105658 0.0143106
26281.7 4408.99 21873.7 28.6033 21873.6 36.1429 5.84953 -93.8762 -3.64465 2975.96 94.1289 18930 0.0358817
12600.2 10270.5 2330.68 11.7726 2330.65 0.890613 -8.59801 -530.936 3.0328 1398.4 531.014 1427.29 0.017055
47134.3 13572.3 33562.9 21.2879 33562.9 -6.61733 1.13538 -6641.32 19.4307 2969.87 6641.35 0.105658 0.0607457
5574.78 516.595 5059.12 -16.6843 5059.1 2.93039 9.14866 -3350.75 -15.7517 2526.94 3350.8 0.105658 0.00659502
34225.4 17650.7 16575.7 -17.0531 16575.6 36.3895 8.80118 -3318.29 -26.0908 3169.88 3318.4 0.105658 0.0458157
39589.1 2542.69 37047.3 -38.1119 37047.3 -4.82203 -0.827318 -3998.1 18.7739 2642.12 3998.15 0.105658 0.0521841
9331.57 4075.56 5256.94 -7.95323 5256.94 2.78106 -2.36147 -252.064 -6.55321 1777.91 252.16 3793.2 0.0122167
16853.7 3535.87 13318.7 -4.73869 13318.7 -8.53199 9.77622 -3791.66 -6.55511 3107.66 3791.68 0.105658 0.0231629
53733.2 34978 18756.2 -3.41951 18756.2 -21.718 3.07383 -2082.63 6.33495 3081.54 2082.64 804.454 0.0679048
57809.5 40172.5 17638 4.51436 17638 22.6613 -0.481767 -2412.45 -8.4799 2556.71 2412.47 79.1728 0.0721921
10505.4 4510.43 5995.88 34.949 5995.77 9.81059 3.99034 -851.236 13.3925 2356.29 851.35 2029.29 0.0139664
27353.2 7729.43 19624.7 9.67239 19624.7 -8.63909 -8.5741 -2677.6 -11.6128 3119.52 2677.63 456.041 0.0372604
77358.5 46828.4 30531.1 28.9754 30531.1 9.56554 4.30407 -3179.22 15.8319 3165.66 3179.27 0.105658 0.0915343
31231 1070.49 30161.5 -0.597602 30161.5 -2.95259 -6.37563 -6290.76 1.81791 2674.84 6290.77 0.105658 0.0421468
139911 83237.5 56674.7 -39.8325 56674.7 -17.4267 8.53137 -3367 14.3388 3615.1 3367.04 167.778 0.144204
10132.3 8072.48 2060.79 -11.8993 2060.74 -7.7691 4.26322 -520.012 -5.80835 1216.56 520.062 961.66 0.0134115
8337.12 6122.9 2215.16 -10.1848 2215.13 -3.4563 16.923 -4114.16 9.37852 804.128 4114.21 0.105658 0.0107271
1791.03 317.319 1474.65 8.70934 1474.59 9.78392 -16.6277 -1794.41 -6.80235 1352.24 1794.5 0.105658 0.00137811
707.595 559.21 149.325 8.14066 149.092 1.80125 -14.616 -371.873 -20.7935 242.442 372.74 0.105658 0.000312744
153.909 48.1368 106.712 -0.473475 106.706 -0.989248 -6.8436 -78.7773 5.87314 172.978 79.2919 56.8639 2.10713e-05
87480.4 27872.5 59608.9 -29.9113 59608.9 9.76252 9.35737 -938.2 -1.56335 3642.14 938.248 26102.3 0.100882
43391.7 5479.8 37912.8 10.4532 37912.8 2.08019 5.8172 -1153.57 -5.31174 3401.42 1153.59 4496.7 0.0565533
2535.42 245.075 2291.28 1.89103 2291.28 -1.29204 3.39528 -536.185 -0.979812 1454.18 536.196 1178.67 0.00229407
8277.25 256.59 8021.6 -11.5381 8021.59 -10.163 -6.14336 -359.506 12.8575 2845.19 359.789 6290.75 0.0106374
16969.2 14322.7 2647.38 27.6813 2647.21 9.86087 -32.1869 -3341.72 5.89116 1453.94 3341.88 0.105658 0.0233258
50132.8 3376.61 46757.1 17.9102 46757.1 26.0611 -1.90677 -5200.34 -14.4713 3179.64 5200.36 0.105658 0.0640339
12542.5 2244.94 10298.5 8.47655 10298.5 -4.71127 3.69923 -352.138 18.7986 3323.18 352.659 8170.51 0.0169705
46360.1 9114.64 37246.4 11.3728 37246.4 37.6977 6.73391 -2576.11 -11.7782 5354.4 2576.14 8297.41 0.059887
18487.3 15317.9 3170.34 -4.67627 3170.31 11.635 9.88784 -3674.46 1.85647 2026.08 3674.48 0.105658 0.0254465
10858.5 5442.96 5416.46 13.6745 5416.44 -6.95066 -5.14957 -4029.16 -1.80682 1851.5 4029.16 0.105658 0.0144903
18606.3 1072.34 17534.9 3.47681 17534.9 11.1935 -9.38435 -3342.1 -0.714309 3800.76 3342.11 300.859 0.0256117
48130.5 12178.9 35952.5 -2.02102 35952.5 61.7711 7.63113 -3753.43 2.34018 4600.14 3753.44 1134.61 0.0618449
5076.9 3282.93 1794.91 1.89273 1794.89 -7.74404 -1.55127 -189.573 5.92183 1493.05 189.672 1272.95 0.00586018
13696.1 4966.32 8730.7 -5.10355 8730.56 -48.0754 10.2387 -588.129 -6.06234 2648.25 588.249 5096.12 0.0186507
160899 7050.72 153849 37.8477 153849 19.2417 -10.6068 -858.583 -0.274871 4482.47 858.649 81034.5 0.159766
2559.91 165.058 2395.79 4.92835 2395.77 7.6865 -8.57882 -2222.25 -18.284 1327.49 2222.34 0.105658 0.00232572
59730.9 34047.8 25684 37.4597 25684 -29.9202 -20.5446 -7030.75 23.5374 4222.21 7030.82 0.105658 0.0741795
59554.4 20183.6 39371.8 16.011 39371.8 37.8288 -10.4306 -3919.99 6.84047 4940.29 3920.01 1024.79 0.0739977
35558.2 4525.33 31033.8 23.1898 31033.8 15.2367 -4.70467 -6138.71 -7.18579 2812.12 6138.71 0.105658 0.0474216
112538 72150.3 40388.2 54.6694 40388.2 17.8423 -4.68132 -5135.24 -16.2724 3080.5 5135.27 0.105658 0.122503
3284.64 1277.63 2007.95 -7.93226 2007.93 -6.70692 11.177 -2313.05 18.3002 1525.95 2313.15 0.105658 0.00329548
74400.8 14112.7 60289.1 -45.3224 60289 82.2574 1.91746 -6359.82 1.20144 3887.79 6359.82 0.105658 0.0887236
3918.28 391.775 3527.45 -15.2447 3527.41 5.50227 2.54913 -1124.02 -12.2412 2169.99 1124.09 1318.88 0.00418197
72492 2142.41 70350.5 -5.54441 70350.5 -2.27014 10.734 -4777.78 5.74631 4063.18 4777.79 0.105658 0.0868901
46956.1 3716.18 43240.9 46.822 43240.9 -12.6354 -9.82261 -398.016 -2.7055 4078.96 398.146 33953.2 0.0605484
11863.5 456.376 11408 -7.03078 11408 2.72006 -6.05094 -2899.13 4.06195 2567.13 2899.14 0.105658 0.0159743
41610 1958.9 39652.1 12.0974 39652.1 -5.89745 4.69327 -5624.28 16.8961 1947.99 5624.3 0.105658 0.0545204
5586.5 1701.42 3886.02 6.48239 3885.9 29.5218 3.856 -1888.94 -23.7725 924.941 1889.1 0.105658 0.00661238
44246.3 3335.04 40912.2 -26.2722 40912.2 -19.3362 1.81492 -2641.44 1.85782 3274.1 2641.45 818.116 0.0575199
5317.82 496.261 4822.5 -10.574 4822.48 9.17387 -0.0991552 -494.676 -10.9624 1727.6 494.798 1819.62 0.00621502
27794.6 2432.18 25363.4 33.1087 25363.3 32.4663 -5.09524 -763.432 7.5082 3829.59 763.486 13165.2 0.0378245
59473.4 21223.5 38250.9 25.6457 38250.9 -8.01158 2.70122 -588.714 17.0783 3596.31 588.968 19468.1 0.0739141
12866.9 7063.31 5804.55 24.4284 5804.47 20.5314 -6.1464 -1791.33 4.7945 2677.11 1791.35 637.108 0.0174447
68359.6 13225.1 55135.5 -19.8677 55135.5 53.4029 -5.91899 -3228.64 12.2823 2466.58 3228.67 0.105658 0.0828618
3878.8 3550.67 329.066 5.0273 329.027 -0.857563 -20.5869 -842.258 5.94249 443.184 842.531 0.105658 0.00412595
8626.96 3633.37 4994.53 9.54477 4994.52 -4.15556 -1.35635 -643.735 13.15 1670.9 643.87 1045.83 0.0111618
108153 2933.26 105220 -3.78307 105220 4.47221 0.420273 -8397.79 12.5799 4399.45 8397.8 0.105658 0.118855
1543.73 27.5138 1517.15 0.701499 1517.15 3.1224 -4.32445 -640.716 14.6779 1131.72 640.899 617.428 0.00109963
19110.1 1773.17 17337.8 2.62228 17337.8 -22.2958 -2.45736 -3446.9 16.0522 2070.43 3446.94 0.105658 0.0263082
9949.54 5961.8 3988.68 -27.4015 3988.59 -0.811714 20.8357 -1768.87 -5.19914 2118.98 1769 330.512 0.0131394
14227.4 8709.24 5519.14 -11.0871 5519.13 -1.47214 11.4151 -897.111 -18.7566 2328.92 897.379 2130.73 0.019419
60908.7 3990.48 56919.2 36.5155 56919.2 6.88293 -8.53978 -3340.96 9.09701 2291.11 3340.98 0.105658 0.0753883
2000.41 1714.71 286.648 -2.23845 286.55 -7.1596 10.7003 -861.628 5.33926 275.921 861.711 0.105658 0.00162522
45752.3 20915.2 24838.1 -27.4556 24838.1 8.2601 -2.07899 -5475.66 7.16366 3332.52 5475.67 0.105658 0.0592095
9756.75 1923.46 7834.23 13.486 7834.22 1.54124 -12.7245 -4158.34 -14.5179 2024.84 4158.38 0.105658 0.0128518
142335 80383.4 61952.7 -72.5686 61952.7 3.32411 12.1974 -1052.55 -5.94683 2866.11 1052.64 13679.1 0.146044
10150.2 4731.34 5419.82 -13.522 5419.8 10.1131 12.8932 -2171.99 3.25316 1944.47 2172.03 0.105658 0.0134382
3747.06 147.658 3600.35 -2.10778 3600.34 -0.943249 -7.20044 -2143.38 6.28988 1575.35 2143.4 0.105658 0.00393969
2971 748.857 2223.09 2.36273 2223.07 -7.2641 -8.99133 -152.628 3.49229 1777.79 152.932 1942.56 0.00286883
