# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
8190.43 175.593 8015.78 5.74094 8015.77 3.46121 2.52242 -4233.19 -1.68026 1235.05 4233.19 0.105658 0.129228
11208.3 3864.38 7344.83 -14.7347 7344.81 -9.08957 12.1985 -699.188 -4.26311 2250.27 699.307 3887.73 0.184582
24801.5 16472.1 8330.33 -11.6761 8330.28 -25.1681 7.94111 -4921.76 6.66316 2675.28 4921.77 0.105658 0.417622
35740.5 26064.9 9676.52 -9.26297 9676.47 29.1575 7.89007 -2475.44 -10.7305 2890.59 2475.48 276.769 0.585923
59554.4 20183.6 39371.8 16.011 39371.8 37.8288 -10.4306 -3919.99 6.84047 2118.78 3920.01 0.105658 0.910095
35558.2 4525.33 31033.8 23.1898 31033.8 15.2367 -4.70467 -6138.71 -7.18579 1808.86 6138.71 0.105658 0.583236
9623.9 2485.88 7138.96 -8.26571 7138.94 -11.6086 -4.32876 -3594.07 18.6017 2862.86 3594.12 0.105658 0.155626
946.946 374.611 573.275 -11.1285 573.167 -0.443553 24.3603 -1200.61 19.398 362.382 1201.01 0.105658 0.00623517
74400.8 14112.7 60289.1 -45.3224 60289 82.2574 1.91746 -6359.82 1.20144 4332.18 6359.82 0.105658 1.09121
3918.28 391.775 3527.45 -15.2447 3527.41 5.50227 2.54913 -1124.02 -12.2412 725.205 1124.09 0.105658 0.0514339
72492 2142.41 70350.5 -5.54441 70350.5 -2.27014 10.734 -4777.78 5.74631 3469.59 4777.79 0.105658 1.06866
46956.1 3716.18 43240.9 46.822 43240.9 -12.6354 -9.82261 -398.016 -2.7055 4340.75 398.146 33953.2 0.744683
101733 38891 62843 41.573 62843 0.0165674 2.91573 -1320.9 2.53342 2802.33 1320.91 6471.5 1.39488
99569.9 60087.3 39483.5 -28.3814 39483.5 -3.43471 4.65743 -2255.17 -12.0995 2625.35 2255.21 269.135 1.37201
2124.66 446.798 1678.81 2.21133 1678.8 4.30309 -4.86923 -2077.83 -23.0911 1080.68 2077.96 0.105658 0.0218444
73370.9 32279.5 41092.4 -25.688 41092.4 -11.3448 13.4819 -5168.03 20.7163 1384.99 5168.09 0.105658 1.07907
