# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
18487.3 15317.9 3170.34 -4.67627 3170.31 11.635 8.47529 -3674.46 1.59126 1291.24 3674.47 0.105658 0.573845
57835.5 24143.8 33692.6 12.6488 33692.6 41.3962 5.58028 -4698.79 -20.7391 4347.89 4698.84 0.105658 1.6286
10858.5 5442.96 5416.46 13.6745 5416.44 -6.95066 -4.41392 -4029.16 -1.54871 1966.64 4029.16 0.105658 0.326772
18606.3 1072.34 17534.9 3.47681 17534.9 11.1935 -8.04373 -3342.1 -0.612265 4148.56 3342.11 861.62 0.577569
27161.6 21479.8 5682.81 -31.1902 5682.73 -1.40844 22.4868 -5120.1 12.7143 1891.39 5120.17 0.105658 0.83472
5076.9 3282.93 1794.91 1.89273 1794.89 -7.74404 -1.32966 -189.573 5.07586 1463.06 189.646 1496.1 0.132153
9420.04 1718.3 7702.68 -21.5885 7702.64 7.94198 6.32413 -4194.26 -7.82324 2298.96 4194.27 0.105658 0.278483
4349.39 1073.48 3276.85 -18.4091 3276.75 18.7633 -2.77593 -120.169 3.38487 2343.1 120.249 2981.99 0.108236
41477.8 5660.95 35817.8 -25.1197 35817.8 -13.1658 2.57114 -2137.63 10.0486 2972.88 2137.66 1023.05 1.22606
2303.78 1334.46 970.266 12.7217 970.179 -2.73706 -19.0848 -1327.27 13.6088 877.383 1327.47 0.105658 0.0450719
13696.1 4966.32 8730.7 -5.10355 8730.56 -48.0754 8.77599 -628.116 -5.19629 1804.74 628.199 1886.19 0.420592
58984.2 3315.16 55669.9 31.213 55669.9 -1.5882 -9.09151 -700.54 -0.235604 3710.88 700.599 20326.2 1.65545
2559.91 165.058 2395.79 4.92835 2395.77 7.6865 -7.35327 -2222.25 -15.672 1326.23 2222.32 0.105658 0.0524475
59730.9 34047.8 25684 37.4597 25684 -29.9202 -17.6096 -7030.75 20.1749 1867.6 7030.8 0.105658 1.67282
35740.5 26064.9 9676.52 -9.26297 9676.47 29.1575 6.76292 -2475.44 -9.19756 1852.53 2475.47 0.105658 1.07433
59554.4 20183.6 39371.8 16.011 39371.8 37.8288 -8.94052 -3959.98 5.86326 4377.88 3960 287.109 1.66872
35558.2 4525.33 31033.8 23.1898 31033.8 15.2367 -4.03257 -6138.71 -6.15925 3191.42 6138.71 0.105658 1.0694
9623.9 2485.88 7138.96 -8.26571 7138.94 -11.6086 -3.71037 -3594.07 15.9443 1929.92 3594.11 0.105658 0.28535
79049.3 11895.5 67154.7 -67.2196 67154.7 -12.887 -4.53931 -3475.97 -16.8685 4672.11 3476.02 2269.75 2.10005
3284.64 1277.63 2007.95 -7.93226 2007.93 -6.70692 9.58033 -2313.05 15.6859 1192.26 2313.12 0.105658 0.0743164
74400.8 14112.7 60289.1 -45.3224 60289 82.2574 1.64354 -6359.82 1.0298 3460.67 6359.82 0.105658 2.00081
3918.28 391.775 3527.45 -15.2447 3527.41 5.50227 2.18497 -1164 -10.4925 1811.77 1164.05 535.891 0.0943074
72492 2142.41 70350.5 -5.54441 70350.5 -2.27014 9.20057 -4817.76 4.92541 1966.96 4817.77 0.105658 1.95946
46956.1 3716.18 43240.9 46.822 43240.9 -12.6354 -8.41938 -398.016 -2.319 4304.83 398.112 10825.7 1.36543
11863.5 456.376 11408 -7.03078 11408 2.72006 -5.18652 -2899.13 3.48167 2416.14 2899.13 0.105658 0.360237
