# Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z mu_propagated_dist vtx_dist_to_detector E_mu_at_detector w
12312.1 1611.41 10701.6 -28.0113 10701.6 11.2825 9.03266 -289.187 2.44193 620.523 289.338 218.052 0.139439
192.594 2.57156 190.961 0.519973 190.957 -1.11419 -8.81586 -249.523 1.10071 303.277 249.681 29.5741 0.000205116
1852.14 700.579 1152.51 4.45591 1152.41 14.2295 0.50993 -249.376 10.4987 963.909 249.597 730.291 0.0104689
69116.3 24860.4 44256.9 -19.2053 44256.9 54.7668 8.20697 -7884.56 3.31315 1649.73 7884.56 0.105658 0.83669
44937.8 4439.94 40498.8 20.5148 40498.8 12.4281 -4.90178 -6451.62 16.3431 2826.53 6451.65 0.105658 0.559225
12139.4 1460.76 10679.6 2.64456 10679.6 4.63635 -6.30254 -1757.88 -11.2059 3133.65 1757.93 1856.81 0.137122
35243.7 21471 13773.6 6.86746 13773.6 -2.50992 -8.87916 -3741.52 -10.7158 3638.21 3741.55 0.105658 0.440093
109456 4021.25 105436 23.4266 105436 22.0202 -5.50956 -6459.7 -8.68 3316.82 6459.71 0.105658 1.25101
54171.2 3221.92 50950.2 -15.0064 50950.2 39.9639 1.103 -1078.82 1.69416 2948.48 1078.83 14749.8 0.668299
24113.1 6337.04 17777 6.57646 17777 5.28042 7.99444 -2568.8 15.7968 3325.74 2568.86 587.67 0.297084
3839.75 343.333 3497.35 1.56655 3497.35 4.71444 8.41873 -1392.28 4.86525 2210.06 1392.31 652.557 0.0308229
57450.5 8883.71 48567.7 12.1737 48567.7 13.2327 9.17082 -3057.61 -17.8663 2419.59 3057.67 0.105658 0.706071
151480 7851.8 143629 13.088 143629 -49.2796 1.57767 -3147.32 -13.1362 3837.11 3147.35 857.386 1.63623
4599.54 288.625 4311.85 -3.05126 4311.85 -6.77964 -2.39628 -1776.4 -15.9286 2147.62 1776.48 239.851 0.0396253
185.409 33.3633 152.984 3.26946 152.944 1.32259 0.764746 -329.685 -11.6357 235.804 329.891 0.105658 0.000191102
84509 8800.52 75709.4 35.9022 75709.4 -32.3114 -5.20348 -1417.15 20.3491 1506.51 1417.31 55.5505 1.00101
2090.14 135.193 1955.89 -1.78459 1955.88 -6.19008 -9.95957 -1082.04 -16.2653 1166.43 1082.21 43.7868 0.0126132
67304.9 16717.7 50588.2 22.7254 50588.2 -29.3094 -0.66527 -2089.26 18.9069 3994.95 2089.35 4134.35 0.816774
10484.5 7016.1 3469.34 -3.39369 3469.26 22.7917 11.7851 -3437.85 -6.22854 2583.54 3437.87 0.105658 0.114993
2586.41 1382.31 1205.04 22.6978 1204.78 10.0037 -20.2158 -671.575 -5.83268 378.29 671.904 0.105658 0.0173938
26652.8 2695.3 23958.4 -19.9093 23958.4 -4.74742 -7.83733 -1449.44 5.36065 2582.54 1449.47 2806.19 0.330305
1289.27 549.089 741.122 7.9379 741.071 3.66642 -7.1411 -942.596 4.95167 502.831 942.637 0.105658 0.00588862
8707.97 1655.44 7053.46 12.9671 7053.45 -1.31458 -11.7669 -1347.85 6.82891 2784.12 1347.92 1835.4 0.0914826
54659.5 16126.1 38534.3 -10.9354 38534.3 26.6774 0.457319 -1888.2 -1.79252 1975.81 1888.2 57.8608 0.673955
9643.9 6171.56 3473.28 -7.52327 3473.24 -16.021 -4.24915 -2171.22 21.1287 1052.55 2171.33 0.105658 0.103826
4827.12 1408.36 3419.7 -18.7688 3419.63 10.2396 4.67275 -1262.5 -15.4307 2269.42 1262.61 998.609 0.0423326
8277.25 1167.3 7110.89 8.21452 7110.88 11.7712 -1.70112 -1831.44 1.79931 2463.38 1831.44 469.133 0.0858417
10540.7 1675.66 8866.01 -10.4067 8865.94 -32.1211 -8.79207 -235.419 10.8169 3054.48 235.831 6025.72 0.115741
65822 34626.9 31196.1 -50.6753 31196 -40.8003 -0.390653 -2045.96 10.3799 2282.34 2045.99 201.308 0.800375
1890.2 813.077 1078.07 11.2684 1077.98 -7.35086 9.43847 0.793537 -1.57655 718.602 9.60208 858.59 3.30446e-06
52446.9 3495.09 48952.7 15.0498 48952.7 -28.3217 -7.03882 -4882.79 15.2338 2431.4 4882.82 0.105658 0.648239
36083 28250 7833.96 -8.40475 7833.96 -0.0324065 10.6614 -3991.04 2.09022 2953.25 3991.05 0.105658 0.450599
26034.5 15179.6 10855.9 -22.248 10855.8 5.93062 11.9223 -4610.4 -17.587 3176.75 4610.45 0.105658 0.322249
46722.4 6076.92 40646.5 4.14258 40646.5 -12.5529 -5.46196 -4376.83 19.3875 2400.89 4376.88 0.105658 0.580624
12774.1 1890.17 10884.9 1.876 10884.9 -20.8338 0.947446 -1004.61 6.79116 1923.1 1004.64 3206.27 0.145643
54068 11839.2 42229.8 10.589 42229.8 -11.2645 1.81534 -1614.84 1.25976 3682.75 1614.84 4187.43 0.667098
70888.8 59346.4 11543.3 7.62301 11543.3 -11.122 3.98639 -6306.03 -4.37614 2650.4 6306.03 0.105658 0.856055
7068.29 1132.08 5937.15 -22.9534 5937.11 1.44535 12.6721 -3364.64 14.1454 729.615 3364.7 0.105658 0.0701996
17435.6 8684.37 8752.19 21.9532 8752.16 14.0376 -6.295 -1190.68 13.0804 1521.96 1190.76 763.964 0.208315
16950.3 4355.92 12595.3 16.9639 12595.2 -33.6355 1.06716 -478.75 -4.52264 2427.99 478.772 5372.26 0.201798
36658.4 10797.6 25861.7 -7.34342 25861.7 1.79822 -9.54948 -1247.73 -2.99796 3765.01 1247.77 11841.7 0.457785
38605.9 1653.97 36952.8 -0.902239 36952.8 3.71062 -10.2532 -5461.83 11.8723 2164.13 5461.85 0.105658 0.481968
3103.08 262.563 2841.46 1.61683 2841.43 13.5523 -1.48219 -1558.22 -16.2213 2020.6 1558.31 345.99 0.0227297
62787.8 13566.6 49222.2 -36.625 49222.1 -14.5461 1.73204 -5524.16 -15.1595 3517.82 5524.18 0.105658 0.766542
20988.7 3299.08 17690.6 -17.8941 17690.5 -12.2526 9.06428 -4769.56 -14.9232 2481.55 4769.59 0.105658 0.25578
61463.7 11045.9 50418.7 -17.6695 50418.7 22.0057 10.867 -1756.32 18.863 3827.9 1756.45 4623.39 0.751657
17060.6 5852.75 11208.7 -0.405754 11208.7 -10.2869 4.37454 -4511.2 15.3874 3000.64 4511.23 0.105658 0.203281
11747.4 4336.6 7411.73 19.7095 7411.69 12.8757 6.60511 -711.771 -1.00801 2536.51 711.803 2886.23 0.131867
32759.6 4764.1 27996.4 -4.32528 27996.4 9.67953 -6.77078 -6534.04 -1.31689 2310.6 6534.05 0.105658 0.408758
41251.6 10150.3 31102.3 7.09323 31102.3 -1.14419 -6.03098 -3470.23 0.552398 3657.02 3470.24 177.9 0.514497
15480.6 1932.1 13549.5 18.2001 13549.5 10.4904 -9.41396 -732.738 4.16925 2496.77 732.81 3210.88 0.182042
63279.1 15473.4 47806.6 2.3681 47806.6 -31.285 -9.34912 -4974.48 -6.72984 1629.58 4974.5 0.105658 0.772045
39184.8 38515.7 670.025 0.123513 670.021 2.10974 3.28863 -1753.83 -7.17969 888.701 1753.85 0.105658 0.489116
47258.4 20486 26773.4 3.75025 26773.4 36.9235 -10.0768 -3468.05 15.2007 3326.08 3468.09 0.105658 0.587026
9659.11 597.396 9062.66 -2.1266 9062.66 -1.43045 6.80551 -4127.46 -7.33722 2276.34 4127.47 0.105658 0.104027
8948.35 8004.1 945.191 3.15459 945.111 -11.9318 1.16708 -348.328 15.6316 639.029 348.68 198.532 0.0946426
12072.4 3945.06 8128.31 1.41971 8128.3 -11.0619 -4.54427 -699.979 7.71869 3219.29 700.036 4204.9 0.136223
101733 43148.9 58585.1 -8.71272 58585.1 -3.13263 4.83481 -7335.05 -13.2787 2789.24 7335.07 0.105658 1.17555
10664 1029.22 9635.67 -0.261021 9635.67 -10.1773 1.92207 -1718.66 9.9849 1850.41 1718.69 76.8094 0.117385
2661.4 407.235 2255.11 5.51279 2255.07 -12.6884 -1.60528 -2202.2 15.7946 1827.19 2202.25 0.105658 0.0181476
12393.3 1831.52 10562.7 -14.7159 10562.7 -8.70775 2.92346 -3962.68 -15.5949 2818.52 3962.71 0.105658 0.140528
19863 14621.2 5242.75 18.0078 5242.72 -2.31069 -14.8491 -3675.65 3.58737 1329.73 3675.68 0.105658 0.240794
