Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z w
40568.69077204216 38401.27964727131 2168.350299017761 9.496063702121425 2168.325952863903 -3.9236459747522283 -25.25426682464883 -6376.416101212796 -7.574805699288845 3.90474481673054
75730.0893902164 40238.683301399695 35492.34526306366 19.2224206658737 35492.333268559254 -21.952526489027935 -0.5099417906082494 -5124.0275341324805 -11.119121449068189 6.590213248244177
27765.096448674645 5408.164815907812 22357.870807013805 -30.58982016995397 22357.8496804542 -2.9901626100972187 -6.394198579590585 -2421.6316406295546 -10.422761582769454 2.76718171303235
54285.598011077745 15764.238710525467 38522.29847479925 -21.851899552870186 38522.28581592104 -22.311013680831053 9.773395888799092 -2360.768822767852 15.747873788699508 5.015706317110964
14127.767550891851 96.21486559607689 14032.491859542748 -0.051493056007489116 14032.489619576294 7.92784976117657 5.05118187369033 -1370.5636408467635 -1.447251122444868 1.4115317978091917
10737.3662223738 2589.8597160724476 8148.445680548326 -8.855130455075098 8148.419873005789 18.497501234920993 -3.8729132968097995 -2985.6378256183007 -18.686393045820296 1.047984298611597
26281.7074158394 4408.99363456686 21873.65295551952 28.603313756965996 21873.604393210684 36.142870672569686 5.849527787959716 -93.87622760582417 -3.6446538660675287 2.627660022993717
12600.193826094473 10270.452892408073 2330.680107933378 11.77261821489145 2330.6502025445498 0.8906133097810338 -8.59800694824986 -530.9361669971076 3.0327975070104003 1.2489563363991079
5574.779876993437 516.5946424546282 5059.124408785784 -16.684340483691 5059.096047517768 2.930389246748393 9.148655571539075 -3350.751590971041 -15.751696698367596 0.4829608608981633
34225.41060630442 17650.68085988519 16575.668920666198 -17.053072348317805 16575.620204178762 36.38950288147372 8.801182208616783 -3318.285570136641 -26.090789791196585 3.3551331388984345
39589.09889916573 2542.694769646626 37047.34330376608 -38.11194282570123 37047.323386228854 -4.82202573843714 -0.8273178465379856 -3998.1027185040684 18.77389557287097 3.821500944359903
9331.569208415647 4075.5642740439525 5256.944108618671 -7.953232592751019 5256.9373557040035 2.7810559109321678 -2.361472067609554 -252.0640536722185 -6.553211929276586 0.8946420957978812
16853.667692705163 3535.8701739921535 13318.736692959985 -4.738687259524828 13318.7331167519 -8.531987708067492 9.776217322601898 -3791.65692309592 -6.5551062216982245 1.6962491053386053
53733.24089871031 34978.000883872264 18756.17918908501 -3.419511924022741 18756.166303333877 -21.717976953627154 3.073828330538963 -2082.6297480582243 6.334953953512013 4.972749901881046
57809.5448256074 40172.49046380388 17637.99353605048 4.5143639348971565 17637.97840033879 22.661339219722738 -0.48176661002466414 -2412.454451703542 -8.479903500527143 5.28671016188158
10505.365604522465 4510.427721931828 5995.877056837611 34.94901795728854 5995.7671725917535 9.81059441996184 3.9903400106904936 -851.2357829785319 13.392518152482808 1.0227776359690146
27353.198050708223 7729.4277956885935 19624.709429266604 9.672386722005067 19624.705143848652 -8.639092378530165 -8.574100197774632 -2677.595945863572 -11.612789114005864 2.7286190297126263
77358.53312340702 46828.35925400016 30531.113043653822 28.975404465634877 30531.0977955193 9.565541142713037 4.304071046257133 -3179.2234536083643 15.831892621703446 6.703163341663289
31231.009838509854 1070.4899073966178 30161.459105360213 -0.597601690443355 30161.458954736587 -2.9525861865740355 -6.375633531099201 -6290.761772447496 1.817905024625361 3.086458313448251
139911.25560492344 83237.51715882297 56674.67762034751 -39.83248352047296 56674.66094335464 -17.426652108760063 8.531367031911481 -3367.003396693902 14.33875316940248 10.560217076024605
10132.330985099481 8072.4797219463735 2060.7904374000773 -11.899325646508236 2060.7414352313035 -7.769098139126143 4.263220286408874 -520.0121886009138 -5.808347802609205 0.9821427477793608
8337.121243736028 6122.900316067036 2215.1601019159734 -10.184778539268352 2215.133989223803 -3.4563026835780084 16.923039374176113 -4114.16073927802 9.378515948541462 0.7855597845715798
1791.028317915905 317.318642101526 1474.6488500613536 8.70933502882791 1474.5906693862985 9.78391873457242 -16.6277268639856 -1794.4127655668358 -6.802353209815919 0.10092088603235257
707.5954655736344 559.2097889303168 149.324850890293 8.140660137517292 149.0918678652023 1.801254758976955 -14.61604959356413 -371.8727569572212 -20.793529892340302 0.022902605307928054
54887.09021821761 16842.08374466684 38045.94564779775 -8.00798203702051 38045.94389415369 8.324611109764664 -5.290649662649567 -7278.590331157678 14.307461514137685 5.062344406392024
153.9094219972965 48.13682670517126 106.71176953910015 -0.47347451598837653 106.7060813886839 -0.9892477082630534 -6.8436022315068445 -78.7773400313248 5.873142593540251 0.001543072993477824
87480.44546765993 27872.526009911748 59608.85863199514 -29.911272455675075 59608.850327842076 9.762516059837226 9.357369910112041 -938.2004148646738 -1.5633481042459607 7.387700020039295
43391.66600834627 5479.803916496484 37912.80126609676 10.453229734517896 37912.79976781163 2.080191063988189 5.817197251573466 -1153.5652950608192 -5.311736327596009 4.141464965843198
2535.415910751974 245.0747482554872 2291.2803367434617 1.891026256089132 2291.2791896748113 -1.292039619027544 3.3952846346208867 -536.1848108539516 -0.9798115352168679 0.16799762131309978
8277.253449436024 256.5897782677314 8021.602845415268 -11.538063136477644 8021.588108671201 -10.162988462156202 -6.143363392432233 -359.50648244657896 12.85747890546918 0.7789863242841791
16969.17521946623 14322.736924488172 2647.3774692250104 27.681317465505757 2647.214377665534 9.860869169808074 -32.18690534863131 -3341.720434369764 5.891163682565093 1.7081717613904754
50132.78601897962 3376.61360569623 46757.11158753037 17.910229539054505 46757.10089432284 26.061070497935987 -1.9067729032687706 -5200.337745084715 -14.471306895837188 4.689274861296776
